,epoch,num_frames_all,strehl_mean_all,strehl_mean_combo,strehl_std_all,strehl_med_all,strehl_mad_all,fwhm_mean_all,fwhm_std_all,fwhm_med_all,fwhm_mad_all,num_frames_combo,strehl_std_combo,strehl_med_combo,strehl_mad_combo,fwhm_mean_combo,fwhm_std_combo,fwhm_med_combo,fwhm_mad_combo,weighted_DIMM,weighted_MASS,legacy_num_detections,single_num_detections,legacy_num_central_detections,single_num_central_detections,legacy_num_bright_detections,single_num_bright_detections,legacy_stf_x_err_pix_median,single_stf_x_err_pix_median,legacy_stf_x_err_pix_median_abs_dev,single_stf_x_err_pix_median_abs_dev,legacy_stf_y_err_pix_median,single_stf_y_err_pix_median,legacy_stf_y_err_pix_median_abs_dev,single_stf_y_err_pix_median_abs_dev,legacy_align_x_err_mas_median,single_align_x_err_mas_median,legacy_align_x_err_mas_median_abs_dev,single_align_x_err_mas_median_abs_dev,legacy_align_y_err_mas_median,single_align_y_err_mas_median,legacy_align_y_err_mas_median_abs_dev,single_align_y_err_mas_median_abs_dev,legacy_stf_mag_err_median,single_stf_mag_err_median,legacy_stf_mag_err_median_abs_dev,single_stf_mag_err_median_abs_dev,legacy_stf_bright_x_err_pix_median,single_stf_bright_x_err_pix_median,legacy_stf_bright_x_err_pix_median_abs_dev,single_stf_bright_x_err_pix_median_abs_dev,legacy_stf_bright_y_err_pix_median,single_stf_bright_y_err_pix_median,legacy_stf_bright_y_err_pix_median_abs_dev,single_stf_bright_y_err_pix_median_abs_dev,legacy_align_bright_x_err_mas_median,single_align_bright_x_err_mas_median,legacy_align_bright_x_err_mas_median_abs_dev,single_align_bright_x_err_mas_median_abs_dev,legacy_align_bright_y_err_mas_median,single_align_bright_y_err_mas_median,legacy_align_bright_y_err_mas_median_abs_dev,single_align_bright_y_err_mas_median_abs_dev,legacy_align_central_x_err_mas_median,single_align_central_x_err_mas_median,legacy_align_central_y_err_mas_median,single_align_central_y_err_mas_median,legacy_align_central_x_err_mas_median_abs_dev,single_align_central_x_err_mas_median_abs_dev,legacy_align_central_y_err_mas_median_abs_dev,single_align_central_y_err_mas_median_abs_dev,legacy_stf_bright_mag_err_median,single_stf_bright_mag_err_median,legacy_stf_bright_mag_err_median_abs_dev,single_stf_bright_mag_err_median_abs_dev
66,20170504nirc2,209.0,0.23795,0.28304,0.06139,0.245,0.045,78.33823,11.5819,75.46,6.71,115.0,0.03247,0.28,0.02,70.19965,3.91999,70.72,2.99,-1.0,-1.0,1100.0,1121.0,7.0,7.0,247.0,240.0,0.044,0.033,0.031,0.024,0.047,0.032,0.032,0.021,0.44,0.33,0.31,0.24,0.47,0.32,0.32,0.21,0.035,0.035,0.0,0.0,0.015,0.01,0.007,0.004,0.016,0.013,0.007,0.004,0.15,0.1,0.07,0.04,0.16,0.13,0.07,0.04,0.09,0.07,0.13,0.09,0.03,0.02,0.04,0.01,0.035,0.035,0.0,0.0
67,20170505nirc2,260.0,0.34913,0.37851,0.06114,0.354,0.038,62.37154,7.02072,60.855,3.715,175.0,0.0403,0.38,0.03,58.53354,2.89567,58.38,2.29,-1.0,-1.0,1214.0,1162.0,11.0,4.0,257.0,253.0,0.039,0.064,0.031,0.049,0.039,0.077,0.032,0.057,0.39,0.64,0.31,0.49,0.39,0.775,0.32,0.565,0.032,0.032,0.0,0.0,0.008,0.013,0.005,0.008,0.008,0.018,0.005,0.007,0.08,0.13,0.05,0.08,0.08,0.18,0.05,0.07,0.04,0.055,0.06,0.295,0.01,0.02,0.03,0.095,0.032,0.032,0.0,0.0
68,20170718nirc2,9.0,0.28167,0.28222,0.00939,0.281,0.009,64.40333,1.91801,64.46,2.14,9.0,0.00916,0.28,0.01,64.40333,1.91801,64.46,2.14,0.5045198921281377,0.2187605532624946,919.0,1052.0,4.0,12.0,240.0,241.0,0.05,0.054,0.033,0.037,0.051,0.061,0.03,0.039,0.5,0.54,0.33,0.37,0.51,0.61,0.3,0.39,0.032,0.025,0.0,0.0,0.017,0.016,0.01,0.01,0.024,0.022,0.011,0.012,0.17,0.16,0.1,0.1,0.24,0.22,0.115,0.12,0.09,0.115,0.145,0.1,0.02,0.065,0.04,0.045,0.032,0.025,0.0,0.0
69,20170727nirc2,114.0,0.16758,0.20511,0.04193,0.1625,0.026,88.81658,11.28168,88.565,7.335,45.0,0.0288,0.2,0.02,78.28644,4.15185,78.21,3.84,-1.0,-1.0,846.0,869.0,2.0,9.0,248.0,240.0,0.057,0.041,0.04,0.025,0.067,0.048,0.045,0.031,0.57,0.41,0.4,0.25,0.665,0.48,0.445,0.31,0.032,0.032,0.0,0.0,0.023,0.019,0.013,0.01,0.025,0.022,0.012,0.01,0.23,0.19,0.13,0.1,0.25,0.22,0.12,0.1,0.135,0.23,0.195,0.16,0.045,0.05,0.025,0.05,0.032,0.032,0.0,0.0
70,20170808_0811nirc2,210.0,0.33324,0.40784,0.10041,0.3465,0.076,64.26324,15.44563,59.92,7.42,111.0,0.05152,0.4,0.04,54.49279,3.3638,53.67,2.61,0.639690445177973,0.2133409537282151,1116.0,1315.0,9.0,11.0,258.0,255.0,0.037,0.082,0.028,0.064,0.035,0.082,0.025,0.064,0.375,0.82,0.285,0.64,0.35,0.82,0.25,0.64,0.031,0.031,0.0,0.0,0.012,0.013,0.007,0.008,0.011,0.014,0.005,0.008,0.12,0.13,0.07,0.08,0.11,0.14,0.05,0.08,0.05,0.09,0.08,0.18,0.01,0.04,0.01,0.1,0.031,0.031,0.0,0.0
71,20170808nirc2,12.0,0.13183,0.14889,0.04895,0.1275,0.0255,104.05417,25.0046,96.355,6.085,9.0,0.0404,0.15,0.02,92.34667,9.02591,93.33,4.55,0.655057644393994,0.5234272904696284,505.0,496.0,4.0,4.0,221.0,215.0,0.086,0.082,0.048,0.045,0.077,0.078,0.044,0.043,0.86,0.815,0.48,0.445,0.77,0.78,0.44,0.43,0.037,0.044,0.0,0.0,0.049,0.05,0.023,0.022,0.038,0.04,0.016,0.019,0.49,0.5,0.23,0.22,0.38,0.4,0.16,0.19,0.375,0.28,0.34,0.2,0.08,0.055,0.06,0.015,0.037,0.044,0.0,0.0
72,20170809nirc2,34.0,0.31271,0.33435,0.04908,0.3115,0.044,67.73235,7.48692,67.59,6.155,23.0,0.04074,0.33,0.03,63.42913,4.29518,61.84,3.38,1.0258510640504483,0.3704382688501572,950.0,1204.0,2.0,18.0,257.0,246.0,0.048,0.037,0.035,0.027,0.049,0.041,0.034,0.03,0.48,0.37,0.35,0.27,0.49,0.41,0.34,0.3,0.025,0.01,0.0,0.0,0.014,0.011,0.009,0.005,0.018,0.013,0.01,0.007,0.14,0.11,0.09,0.05,0.18,0.13,0.1,0.07,0.03,0.09,0.08,0.14,0.01,0.025,0.04,0.07,0.025,0.01,0.0,0.0
73,20170810nirc2,63.0,0.27733,0.33967,0.07644,0.273,0.059,68.75349,11.67464,66.35,6.64,30.0,0.04324,0.34,0.03,59.66967,3.26586,58.88,2.655,1.1697184986826084,0.152871010837596,937.0,1102.0,7.0,13.0,245.0,242.0,0.048,0.09,0.035,0.065,0.047,0.086,0.033,0.062,0.48,0.9,0.35,0.65,0.47,0.86,0.33,0.62,0.029,0.023,0.0,0.0,0.015,0.018,0.008,0.009,0.015,0.022,0.008,0.009,0.15,0.185,0.08,0.095,0.15,0.22,0.08,0.09,0.16,0.11,0.09,0.19,0.08,0.05,0.02,0.05,0.029,0.023,0.0,0.0
74,20170811nirc2,101.0,0.39895,0.41851,0.07067,0.405,0.047,55.56693,6.12286,53.55,2.53,87.0,0.05087,0.43,0.03,53.64678,3.21828,52.64,1.67,0.5237353771108566,0.2195768460180854,1103.0,1430.0,9.0,19.0,255.0,254.0,0.041,0.077,0.032,0.06,0.04,0.082,0.03,0.065,0.41,0.77,0.32,0.6,0.4,0.82,0.3,0.65,0.032,0.033,0.0,0.0,0.011,0.012,0.008,0.007,0.011,0.012,0.006,0.006,0.11,0.12,0.08,0.07,0.11,0.12,0.06,0.06,0.07,0.1,0.07,0.1,0.02,0.06,0.02,0.06,0.032,0.033,0.0,0.0
75,20170823_0826nirc2,219.0,0.30847,0.35795,0.06647,0.31,0.051,66.61393,8.47109,65.39,5.32,112.0,0.04289,0.355,0.025,60.31982,3.46536,60.935,2.56,0.7823026648501228,0.2489912328244266,936.0,1102.0,5.0,10.0,249.0,247.0,0.044,0.073,0.032,0.055,0.049,0.083,0.037,0.064,0.44,0.73,0.32,0.55,0.49,0.83,0.37,0.64,0.031,0.024,0.0,0.0,0.013,0.016,0.008,0.007,0.013,0.015,0.008,0.007,0.13,0.16,0.08,0.07,0.13,0.15,0.08,0.07,0.06,0.135,0.1,0.115,0.02,0.05,0.05,0.04,0.031,0.024,0.0,0.0
76,20170823nirc2,116.0,0.28518,0.32131,0.05649,0.2885,0.04,69.06853,7.47336,67.905,4.965,61.0,0.04532,0.32,0.03,63.60803,3.27996,64.15,2.2,0.8761045530484141,0.3596914229195239,996.0,1342.0,4.0,22.0,253.0,251.0,0.037,0.039,0.026,0.031,0.039,0.042,0.028,0.032,0.37,0.39,0.26,0.31,0.39,0.42,0.28,0.32,0.03,0.023,0.0,0.0,0.012,0.009,0.004,0.004,0.013,0.011,0.007,0.004,0.12,0.09,0.04,0.04,0.13,0.11,0.07,0.04,0.105,0.09,0.14,0.115,0.03,0.035,0.02,0.065,0.03,0.023,0.0,0.0
77,20170824nirc2,52.0,0.34588,0.36929,0.06768,0.353,0.0355,63.38019,9.00932,61.255,3.695,42.0,0.04458,0.37,0.03,60.01167,3.50277,60.68,2.735,0.8459903337960987,0.1918440176500676,851.0,965.0,6.0,10.0,247.0,245.0,0.047,0.056,0.035,0.04,0.054,0.064,0.04,0.047,0.47,0.56,0.35,0.4,0.54,0.64,0.4,0.47,0.029,0.021,0.0,0.0,0.014,0.015,0.009,0.009,0.016,0.015,0.008,0.007,0.14,0.15,0.09,0.09,0.16,0.15,0.08,0.07,0.045,0.145,0.105,0.13,0.02,0.06,0.01,0.08,0.029,0.021,0.0,0.0
78,20170826nirc2,51.0,0.32331,0.36,0.0645,0.332,0.035,64.32804,8.29206,63.65,5.16,33.0,0.03717,0.35,0.03,59.36667,3.94466,58.93,3.3,0.5754685566183826,0.2176652788281835,996.0,1182.0,8.0,11.0,249.0,243.0,0.042,0.071,0.031,0.054,0.046,0.074,0.031,0.056,0.42,0.71,0.31,0.54,0.46,0.745,0.31,0.565,0.034,0.035,0.0,0.0,0.015,0.015,0.007,0.007,0.018,0.016,0.005,0.007,0.15,0.15,0.07,0.07,0.18,0.16,0.05,0.07,0.245,0.12,0.275,0.16,0.14,0.05,0.085,0.11,0.034,0.035,0.0,0.0
79,20180317_0330nirc2,147.0,0.31847,0.42295,0.10241,0.283,0.061,69.84816,10.9677,71.02,9.01,61.0,0.06872,0.43,0.06,58.89689,3.74832,58.17,2.79,-1.0,-1.0,1110.0,1222.0,10.0,9.0,250.0,249.0,0.038,0.079,0.03,0.061,0.039,0.085,0.029,0.067,0.38,0.79,0.3,0.61,0.39,0.85,0.29,0.67,0.026,0.028,0.0,0.0,0.009,0.016,0.005,0.007,0.01,0.014,0.006,0.008,0.09,0.16,0.05,0.07,0.1,0.14,0.06,0.08,0.035,0.2,0.07,0.24,0.005,0.09,0.03,0.18,0.026,0.028,0.0,0.0
80,20180317_0524nirc2,213.0,0.29124,0.42295,0.0968,0.263,0.044,73.14887,11.38928,73.72,7.75,61.0,0.06872,0.43,0.06,58.89689,3.74832,58.17,2.79,-1.0,-1.0,1110.0,1222.0,10.0,9.0,250.0,249.0,0.038,0.079,0.03,0.061,0.039,0.085,0.029,0.067,0.38,0.79,0.3,0.61,0.39,0.85,0.29,0.67,0.026,0.028,0.0,0.0,0.009,0.016,0.005,0.007,0.01,0.014,0.006,0.008,0.09,0.16,0.05,0.07,0.1,0.14,0.06,0.08,0.035,0.2,0.07,0.24,0.005,0.09,0.03,0.18,0.026,0.028,0.0,0.0
81,20180317nirc2,39.0,0.44628,0.47424,0.07762,0.464,0.043,59.83462,8.34862,56.18,1.73,33.0,0.04438,0.48,0.03,56.67909,2.48194,55.83,0.92,-1.0,-1.0,1205.0,1302.0,12.0,13.0,251.0,249.0,0.039,0.076,0.029,0.053,0.042,0.078,0.031,0.051,0.39,0.76,0.29,0.53,0.42,0.78,0.31,0.51,0.022,0.032,0.0,0.0,0.011,0.024,0.004,0.005,0.011,0.029,0.005,0.006,0.11,0.24,0.04,0.05,0.11,0.29,0.05,0.06,0.12,0.23,0.1,0.32,0.02,0.03,0.02,0.08,0.022,0.032,0.0,0.0
82,20180322nirc2,59.0,0.24617,0.25979,0.03824,0.246,0.025,76.67712,6.80682,76.26,4.74,47.0,0.02964,0.26,0.02,74.21021,4.49163,74.45,3.64,0.8293670972415373,0.5591404871469596,1001.0,1153.0,7.0,11.0,245.0,244.0,0.044,0.034,0.032,0.024,0.053,0.04,0.037,0.028,0.44,0.34,0.32,0.24,0.53,0.4,0.37,0.28,0.03,0.026,0.0,0.0,0.013,0.009,0.006,0.003,0.017,0.014,0.009,0.007,0.13,0.095,0.06,0.035,0.17,0.14,0.09,0.07,0.11,0.1,0.14,0.13,0.02,0.05,0.07,0.07,0.03,0.026,0.0,0.0
83,20180330nirc2,49.0,0.3038,0.36346,0.07347,0.314,0.057,69.59551,10.65761,67.22,6.35,26.0,0.03772,0.37,0.03,61.34077,3.47841,61.03,2.595,0.9409780318184152,0.2236883736307178,891.0,1038.0,8.0,12.0,245.0,242.0,0.041,0.075,0.029,0.055,0.038,0.079,0.027,0.059,0.41,0.75,0.29,0.55,0.38,0.79,0.27,0.59,0.036,0.023,0.0,0.0,0.015,0.018,0.006,0.008,0.013,0.015,0.006,0.009,0.15,0.18,0.06,0.08,0.13,0.155,0.06,0.095,0.195,0.19,0.145,0.245,0.125,0.115,0.075,0.085,0.036,0.023,0.0,0.0
84,20180519_0524nirc2,66.0,0.23059,0.24434,0.0394,0.231,0.0255,80.50045,8.50863,79.135,4.29,53.0,0.02872,0.24,0.02,77.21774,4.27459,78.09,2.89,0.831796046898244,0.7540918800775372,907.0,1014.0,3.0,13.0,241.0,238.0,0.049,0.032,0.036,0.023,0.045,0.03,0.033,0.023,0.49,0.32,0.36,0.23,0.45,0.3,0.33,0.23,0.054,0.048,0.0,0.0,0.013,0.01,0.009,0.005,0.012,0.008,0.005,0.004,0.13,0.1,0.09,0.05,0.12,0.08,0.05,0.04,0.11,0.09,0.15,0.09,0.1,0.04,0.06,0.05,0.054,0.048,0.0,0.0
85,20180519nirc2,17.0,0.21488,0.24909,0.05046,0.225,0.05,86.76059,11.92875,83.82,8.27,11.0,0.0261,0.25,0.02,78.94455,4.44535,78.42,3.18,1.1877291738653435,1.141190842258549,773.0,779.0,5.0,6.0,234.0,231.0,0.065,0.051,0.042,0.03,0.056,0.044,0.039,0.027,0.65,0.51,0.42,0.3,0.56,0.44,0.39,0.27,0.065,0.059,0.0,0.0,0.028,0.024,0.014,0.01,0.021,0.019,0.011,0.008,0.28,0.24,0.145,0.1,0.215,0.19,0.115,0.08,0.18,0.165,0.07,0.155,0.09,0.04,0.01,0.095,0.065,0.059,0.0,0.0
86,20180524nirc2,49.0,0.23604,0.24209,0.03305,0.231,0.022,78.32857,5.46197,79.05,3.4,43.0,0.02961,0.23,0.02,77.02605,4.39947,77.99,3.52,0.7495697280256636,0.6641169644246031,918.0,892.0,9.0,7.0,239.0,235.0,0.053,0.052,0.039,0.041,0.046,0.056,0.03,0.04,0.53,0.52,0.39,0.41,0.465,0.56,0.305,0.4,0.052,0.041,0.0,0.0,0.016,0.011,0.007,0.007,0.018,0.015,0.007,0.007,0.16,0.11,0.07,0.07,0.18,0.15,0.07,0.07,0.13,0.05,0.16,0.1,0.05,0.02,0.05,0.02,0.052,0.041,0.0,0.0
87,20190419_0420nirc2,292.0,0.27916,0.36404,0.08286,0.285,0.069,72.53596,10.77558,70.605,7.245,114.0,0.03694,0.36,0.02,62.51596,3.14239,63.29,2.21,1.0210407313579313,0.4141268449162973,1061.0,1279.0,8.0,18.0,248.0,247.0,0.039,0.072,0.03,0.054,0.044,0.082,0.034,0.06,0.39,0.72,0.3,0.54,0.44,0.82,0.34,0.6,0.046,0.043,0.0,0.0,0.009,0.017,0.006,0.005,0.009,0.021,0.005,0.006,0.09,0.17,0.06,0.05,0.095,0.21,0.055,0.06,0.42,0.17,0.14,0.195,0.265,0.05,0.085,0.065,0.046,0.043,0.0,0.0
88,20190419nirc2,120.0,0.19867,0.22485,0.03862,0.199,0.0245,82.04258,8.6933,80.195,4.2,66.0,0.02451,0.22,0.02,76.18106,3.5568,77.04,1.935,1.2024923792755098,0.5533628540882436,877.0,952.0,6.0,8.0,235.0,227.0,0.053,0.033,0.037,0.022,0.063,0.046,0.039,0.028,0.53,0.33,0.37,0.22,0.63,0.46,0.39,0.28,0.057,0.057,0.0,0.0,0.019,0.013,0.01,0.006,0.031,0.023,0.014,0.012,0.19,0.13,0.1,0.06,0.31,0.23,0.14,0.12,0.205,0.125,0.39,0.195,0.1,0.04,0.055,0.09,0.057,0.057,0.0,0.0
89,20190420nirc2,172.0,0.33533,0.36527,0.05422,0.3375,0.0345,65.90343,6.11174,65.32,3.325,112.0,0.03608,0.36,0.02,62.46455,3.14596,63.245,2.255,1.015750122898402,0.4090576113533189,1081.0,1358.0,8.0,23.0,249.0,248.0,0.038,0.064,0.028,0.049,0.041,0.073,0.03,0.048,0.38,0.64,0.28,0.49,0.41,0.73,0.3,0.48,0.046,0.041,0.0,0.0,0.011,0.013,0.005,0.006,0.012,0.026,0.006,0.005,0.11,0.13,0.05,0.06,0.12,0.26,0.06,0.05,0.07,0.18,0.06,0.25,0.02,0.07,0.02,0.04,0.046,0.041,0.0,0.0
90,20190513nirc2,98.0,0.32965,0.37118,0.08034,0.3415,0.0555,66.36398,9.68243,63.855,5.48,68.0,0.04717,0.375,0.035,61.03471,3.63756,60.105,2.8,0.9582046193674464,0.2180917625368533,1090.0,1103.0,15.0,9.0,252.0,249.0,0.037,0.081,0.029,0.06,0.037,0.084,0.029,0.065,0.375,0.81,0.285,0.6,0.37,0.84,0.29,0.65,0.044,0.037,0.0,0.0,0.01,0.017,0.005,0.007,0.01,0.015,0.007,0.009,0.1,0.17,0.05,0.07,0.1,0.15,0.065,0.09,0.07,0.11,0.06,0.08,0.04,0.04,0.03,0.03,0.044,0.037,0.0,0.0
91,20190523nirc2,177.0,0.34376,0.36813,0.06297,0.351,0.037,63.75616,7.9546,61.83,3.68,139.0,0.04005,0.37,0.03,60.55583,3.34829,60.36,2.58,0.8336610939907525,0.2002354246881808,1082.0,1147.0,13.0,12.0,247.0,254.0,0.04,0.074,0.03,0.057,0.04,0.075,0.029,0.058,0.4,0.74,0.3,0.57,0.4,0.75,0.29,0.58,0.044,0.028,0.0,0.0,0.01,0.014,0.005,0.009,0.011,0.014,0.005,0.008,0.1,0.145,0.05,0.095,0.11,0.14,0.05,0.08,0.09,0.13,0.09,0.11,0.04,0.065,0.02,0.055,0.044,0.028,0.0,0.0
92,20190625nirc2,29.0,0.20138,0.24917,0.04873,0.193,0.03,87.19172,11.66953,85.54,8.26,12.0,0.03451,0.24,0.02,76.12083,5.16878,75.44,4.435,1.0035398091958494,0.7778037315755847,856.0,814.0,6.0,6.0,213.0,213.0,0.046,0.036,0.031,0.023,0.06,0.052,0.035,0.03,0.46,0.36,0.31,0.23,0.605,0.52,0.345,0.3,0.06,0.058,0.0,0.0,0.016,0.014,0.008,0.007,0.027,0.026,0.013,0.013,0.16,0.14,0.08,0.07,0.27,0.26,0.13,0.13,0.12,0.12,0.195,0.13,0.06,0.035,0.115,0.06,0.06,0.058,0.0,0.0
93,20190630nirc2,12.0,0.38492,0.416,0.0765,0.407,0.019,59.235,7.41653,56.64,1.495,10.0,0.02245,0.415,0.015,56.189,2.14023,56.04,1.345,0.475239349275054,0.1787568352966605,1126.0,1331.0,11.0,20.0,220.0,220.0,0.034,0.046,0.023,0.034,0.041,0.054,0.024,0.038,0.34,0.46,0.23,0.34,0.41,0.54,0.24,0.38,0.042,0.037,0.0,0.0,0.01,0.011,0.003,0.004,0.019,0.015,0.004,0.004,0.105,0.11,0.035,0.04,0.19,0.15,0.04,0.04,0.08,0.1,0.19,0.17,0.02,0.025,0.03,0.05,0.042,0.037,0.0,0.0
94,20190814nirc2,54.0,0.25019,0.29441,0.06764,0.278,0.0445,76.48815,12.69632,71.855,6.29,34.0,0.02922,0.295,0.015,68.38176,3.45021,67.395,2.09,1.0620431235060954,0.2638978387224862,1034.0,1134.0,11.0,7.0,237.0,235.0,0.044,0.049,0.027,0.032,0.051,0.05,0.031,0.032,0.44,0.49,0.27,0.32,0.51,0.5,0.31,0.32,0.044,0.041,0.0,0.0,0.02,0.018,0.006,0.006,0.02,0.02,0.009,0.008,0.2,0.18,0.06,0.06,0.2,0.2,0.09,0.08,0.19,0.25,0.18,0.12,0.03,0.03,0.04,0.05,0.044,0.041,0.0,0.0
95,20190818_0819nirc2,37.0,0.30997,0.31758,0.04716,0.314,0.043,67.26162,5.49063,66.31,4.71,33.0,0.04493,0.32,0.04,66.13242,4.56631,65.94,4.17,0.6109845777825776,0.3112137474921297,1193.0,1093.0,15.0,7.0,242.0,224.0,0.047,0.062,0.032,0.047,0.053,0.07,0.041,0.053,0.47,0.62,0.32,0.47,0.53,0.7,0.41,0.53,0.061,0.055,0.0,0.0,0.015,0.012,0.006,0.007,0.01,0.015,0.006,0.009,0.15,0.12,0.06,0.07,0.105,0.15,0.065,0.09,0.16,0.07,0.12,0.14,0.05,0.02,0.08,0.08,0.061,0.055,0.0,0.0
96,20190818nirc2,13.0,0.32531,0.32538,0.04534,0.326,0.033,64.35,3.62569,62.57,2.96,13.0,0.04635,0.33,0.03,64.35,3.62569,62.57,2.96,0.6817395452900845,0.504218018487217,1061.0,1000.0,14.0,5.0,219.0,216.0,0.04,0.047,0.028,0.032,0.049,0.055,0.033,0.036,0.4,0.47,0.28,0.32,0.49,0.55,0.33,0.36,0.061,0.056,0.0,0.0,0.012,0.015,0.005,0.005,0.018,0.019,0.009,0.008,0.12,0.155,0.05,0.055,0.18,0.19,0.09,0.08,0.08,0.14,0.13,0.17,0.025,0.04,0.075,0.02,0.061,0.056,0.0,0.0
97,20190819nirc2,24.0,0.30167,0.30522,0.04603,0.29,0.0335,68.83875,5.68126,70.825,4.08,23.0,0.0451,0.3,0.03,68.27,5.09083,70.3,4.28,0.5681211272938008,0.1780267927228591,1159.0,1079.0,20.0,7.0,243.0,233.0,0.056,0.082,0.039,0.061,0.064,0.095,0.042,0.064,0.56,0.82,0.39,0.61,0.64,0.95,0.42,0.64,0.06,0.057,0.0,0.0,0.017,0.019,0.006,0.008,0.027,0.032,0.014,0.013,0.17,0.19,0.06,0.08,0.27,0.32,0.14,0.13,0.155,0.25,0.21,0.21,0.055,0.15,0.115,0.09,0.06,0.057,0.0,0.0
98,20200707nirc2,230.0,0.26112,0.28462,0.05485,0.2635,0.036,74.83822,13.20865,72.115,4.57,169.0,0.03626,0.28,0.03,70.21911,3.8421,70.29,3.17,0.6859502861250909,0.115444588424826,1181.0,1237.0,10.0,10.0,250.0,249.0,0.045,0.058,0.035,0.047,0.048,0.058,0.037,0.045,0.45,0.58,0.35,0.47,0.48,0.58,0.37,0.45,0.035,0.033,0.0,0.0,0.01,0.009,0.003,0.005,0.01,0.012,0.005,0.005,0.1,0.09,0.03,0.05,0.1,0.12,0.05,0.05,0.11,0.08,0.1,0.075,0.03,0.03,0.045,0.035,0.035,0.033,0.0,0.0
99,20200809nirc2,61.0,0.20995,0.25312,0.05824,0.207,0.043,78.9359,13.24936,74.66,7.37,32.0,0.03868,0.26,0.02,69.23094,3.75396,69.56,2.92,0.6978214331857533,0.3784609672575974,939.0,943.0,11.0,5.0,246.0,242.0,0.043,0.064,0.03,0.043,0.047,0.072,0.031,0.05,0.43,0.64,0.3,0.43,0.47,0.72,0.31,0.5,0.042,0.027,0.0,0.0,0.015,0.022,0.008,0.009,0.018,0.022,0.01,0.01,0.15,0.22,0.08,0.09,0.18,0.22,0.1,0.1,0.14,0.19,0.2,0.14,0.08,0.1,0.09,0.04,0.042,0.027,0.0,0.0
100,20210513_0514nirc2,277.0,0.24933,0.31586,0.07378,0.253,0.06,74.32451,13.32632,72.24,8.44,128.0,0.03411,0.32,0.02,63.50094,3.62486,63.195,2.655,0.6409893376731979,0.3411718988490881,986.0,1193.0,1.0,11.0,235.0,252.0,0.032,0.071,0.023,0.054,0.034,0.076,0.025,0.056,0.32,0.71,0.23,0.54,0.34,0.76,0.25,0.56,0.06,0.047,0.0,0.0,0.009,0.012,0.003,0.005,0.011,0.017,0.005,0.005,0.09,0.12,0.03,0.05,0.11,0.17,0.05,0.055,0.07,0.11,0.06,0.17,0.0,0.05,0.0,0.05,0.06,0.047,0.0,0.0
101,20210513nirc2,117.0,0.1891,0.22343,0.04696,0.193,0.036,84.57145,12.55625,80.41,6.74,67.0,0.02507,0.23,0.02,75.81299,3.7663,75.52,3.23,0.8854737214432887,0.581778127589424,906.0,991.0,6.0,13.0,236.0,236.0,0.04,0.03,0.027,0.021,0.044,0.035,0.029,0.023,0.4,0.3,0.27,0.21,0.44,0.35,0.29,0.23,0.069,0.061,0.0,0.0,0.015,0.009,0.005,0.004,0.017,0.013,0.008,0.005,0.15,0.09,0.05,0.04,0.165,0.13,0.075,0.05,0.24,0.08,0.08,0.11,0.14,0.02,0.01,0.05,0.069,0.061,0.0,0.0
102,20210514nirc2,160.0,0.29337,0.31828,0.05674,0.305,0.0355,66.83144,7.69664,64.24,3.8,122.0,0.03308,0.32,0.02,63.21311,3.44875,63.025,2.5,0.6281342768832617,0.3246869989067599,1013.0,1162.0,2.0,11.0,249.0,249.0,0.032,0.062,0.025,0.05,0.034,0.069,0.024,0.054,0.32,0.625,0.25,0.495,0.34,0.685,0.24,0.535,0.059,0.044,0.0,0.0,0.007,0.011,0.005,0.005,0.012,0.013,0.004,0.008,0.07,0.11,0.05,0.05,0.12,0.13,0.04,0.08,0.02,0.09,0.1,0.08,0.0,0.02,0.01,0.04,0.059,0.044,0.0,0.0
103,20210713_0714nirc2,163.0,0.09625,0.28846,0.31478,0.18,0.042,91.4416,50.02071,89.62,9.68,13.0,0.04312,0.26,0.02,68.42769,5.19221,71.89,1.45,0.9231489951931814,0.5149178896963774,965.0,1007.0,7.0,10.0,234.0,230.0,0.052,0.041,0.034,0.027,0.066,0.053,0.042,0.033,0.52,0.41,0.34,0.27,0.66,0.53,0.42,0.33,0.053,0.049,0.0,0.0,0.021,0.017,0.011,0.008,0.028,0.026,0.011,0.011,0.21,0.17,0.11,0.08,0.275,0.255,0.115,0.105,0.11,0.145,0.2,0.23,0.03,0.085,0.02,0.055,0.053,0.049,0.0,0.0
104,20210713nirc2,63.0,0.20438,0.298,0.05625,0.202,0.037,84.76714,11.24494,84.17,7.87,10.0,0.0449,0.3,0.04,67.183,5.31294,67.73,4.62,0.7611699795775725,0.3393961065454962,926.0,1001.0,6.0,8.0,221.0,224.0,0.044,0.038,0.031,0.026,0.056,0.05,0.035,0.035,0.44,0.38,0.31,0.26,0.56,0.5,0.35,0.35,0.056,0.05,0.0,0.0,0.013,0.013,0.007,0.006,0.022,0.015,0.007,0.006,0.13,0.13,0.07,0.06,0.22,0.15,0.07,0.06,0.115,0.085,0.23,0.135,0.015,0.045,0.02,0.035,0.056,0.05,0.0,0.0
