             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220819nirc2 single_night 59810.273566 2022.630455             50         0.23070           0.23929        0.03761        0.23200        0.02500      55.29380      4.27111     54.38500      2.88000               42          0.03397          0.24000          0.02500        53.87310        2.84115       53.89500        2.02500 0.7296311324676504  0.3054027481789471
     20220820nirc2 single_night 59811.279823 2022.633210             45         0.17700           0.19345        0.03303        0.17900        0.01900      65.48800      6.89859     64.47000      4.09000               29          0.02382          0.19000          0.01000        61.46828        3.28603       61.80000        2.67000  1.088071417472922  0.4176255660943329
