             epoch single_multi          MJD       JYear num_frames_all strehl_mean_all strehl_mean_combo strehl_std_all strehl_med_all strehl_mad_all fwhm_mean_all fwhm_std_all fwhm_med_all fwhm_mad_all num_frames_combo strehl_std_combo strehl_med_combo strehl_mad_combo fwhm_mean_combo fwhm_std_combo fwhm_med_combo fwhm_mad_combo      weighted_DIMM       weighted_MASS
     20140419nirc2 single_night 56766.634114 2014.297424              8         0.11363           0.12167        0.01485        0.11800        0.01300     122.74375     13.47614    115.92500      5.25000                6          0.01213          0.12000          0.00500       115.90333        7.19750      112.64500        1.97000 1.7213220216629777  1.6924429601708553
     20140512nirc2 single_night 56788.587067 2014.357528              9         0.27189           0.27111        0.04242        0.26400        0.03600      67.72111      4.99801     68.32000      3.72000                9          0.04040          0.26000          0.03000        67.72111        4.99801       68.32000        3.72000 1.3122837739690296  0.3473791898009998
     20140519nirc2 single_night 56796.523829 2014.379258            173         0.30514           0.31831        0.04500        0.31100        0.02700      65.95451      5.56567     64.88000      2.72000              148          0.03030          0.32000          0.02000        64.14155        3.13380       63.89500        2.33000 0.7737172889309946 0.23742200794784443
20140703_0704nirc2  multi_night 56842.007047 2014.503784            261         0.21106           0.27256        0.10050        0.21700        0.05000      81.66031     19.23014     76.91000      7.45000              125          0.03399          0.27000          0.03000        70.42632        3.93584       70.81000        2.83000 0.8815855883819329  0.4266325143569112
     20140703nirc2 single_night 56841.342820 2014.501965             66         0.24633           0.27217        0.05146        0.24250        0.03450      75.29091      8.97236     74.38500      5.31500               46          0.03735          0.27000          0.03000        70.54826        4.48124       71.79500        2.84000 0.8165807913874974 0.26982478204991434
     20140704nirc2 single_night 56842.392042 2014.504838            195         0.19912           0.26860        0.10982        0.20600        0.05300      83.81610     21.19752     79.09000      9.13000               86          0.03383          0.27000          0.03000        70.87895        3.85514       70.86000        2.77500 0.9230331441558098  0.5203738996073647
20140803_0806nirc2  multi_night 56875.117258 2014.594435            187         0.33549           0.37850        0.09061        0.36000        0.05300      64.88754     18.66427     58.36000      3.84000              140          0.04562          0.38000          0.03000        57.15314        3.14709       56.77000        2.19000 0.9877385387701656 0.18790128940868697
     20140803nirc2 single_night 56872.271446 2014.586643             22         0.14614           0.16917        0.03227        0.14600        0.02200     109.62045     21.87373    102.82500     15.74000               12          0.02139          0.17000          0.02000        93.04167        6.23994       92.53000        4.59000 2.2477136462658223   1.685550996606001
     20140804nirc2 single_night 56873.285700 2014.589420             28         0.29018           0.30167        0.05083        0.27900        0.03450      65.09536      5.91503     65.35500      3.35500               24          0.04249          0.29000          0.03000        63.44625        3.98723       64.24500        3.15000 1.2379037060715326   0.437770294155605
     20140805nirc2 single_night 56874.329002 2014.592277             21         0.13262           0.20167        0.05901        0.14500        0.04300     112.75857     60.63657     90.64000     25.48000                6          0.01462          0.19500          0.00500        64.16500        2.78289       63.52500        1.53000  1.505508772500236  0.5411130484261145
